"title","noise_denom","n","true_beta_range","noise_coef","sd","alpha","location"
"diff_hist_beta201.png","1","100","-20,20","0.05","1","0.01","median"
"diff_hist_beta202.png","1","100","-20,20","0.05","1","0.01","mean"
"diff_hist_beta203.png","1","100","-20,20","0.05","1","0.1","median"
"diff_hist_beta204.png","1","100","-20,20","0.05","1","0.1","mean"
"diff_hist_beta205.png","1","100","-20,20","0.05","1","0.5","median"
"diff_hist_beta206.png","1","100","-20,20","0.05","1","0.5","mean"
"diff_hist_beta207.png","1","100","-20,20","0.05","1","1","median"
"diff_hist_beta208.png","1","100","-20,20","0.05","1","1","mean"
"diff_hist_beta209.png","1","100","-20,20","0.05","2","0.01","median"
"diff_hist_beta2010.png","1","100","-20,20","0.05","2","0.01","mean"
"diff_hist_beta2011.png","1","100","-20,20","0.05","2","0.1","median"
"diff_hist_beta2012.png","1","100","-20,20","0.05","2","0.1","mean"
"diff_hist_beta2013.png","1","100","-20,20","0.05","2","0.5","median"
"diff_hist_beta2014.png","1","100","-20,20","0.05","2","0.5","mean"
"diff_hist_beta2015.png","1","100","-20,20","0.05","2","1","median"
"diff_hist_beta2016.png","1","100","-20,20","0.05","2","1","mean"
"diff_hist_beta2017.png","1","100","-20,20","0.05","3","0.01","median"
"diff_hist_beta2018.png","1","100","-20,20","0.05","3","0.01","mean"
"diff_hist_beta2019.png","1","100","-20,20","0.05","3","0.1","median"
"diff_hist_beta2020.png","1","100","-20,20","0.05","3","0.1","mean"
"diff_hist_beta2021.png","1","100","-20,20","0.05","3","0.5","median"
"diff_hist_beta2022.png","1","100","-20,20","0.05","3","0.5","mean"
"diff_hist_beta2023.png","1","100","-20,20","0.05","3","1","median"
"diff_hist_beta2024.png","1","100","-20,20","0.05","3","1","mean"
"diff_hist_beta2025.png","1","100","-20,20","0.05","4","0.01","median"
"diff_hist_beta2026.png","1","100","-20,20","0.05","4","0.01","mean"
"diff_hist_beta2027.png","1","100","-20,20","0.05","4","0.1","median"
"diff_hist_beta2028.png","1","100","-20,20","0.05","4","0.1","mean"
"diff_hist_beta2029.png","1","100","-20,20","0.05","4","0.5","median"
"diff_hist_beta2030.png","1","100","-20,20","0.05","4","0.5","mean"
"diff_hist_beta2031.png","1","100","-20,20","0.05","4","1","median"
"diff_hist_beta2032.png","1","100","-20,20","0.05","4","1","mean"
"diff_hist_beta2033.png","1","100","-20,20","0.05","5","0.01","median"
"diff_hist_beta2034.png","1","100","-20,20","0.05","5","0.01","mean"
