"Hetero_pwr","mu","var"
0.1,2.04014583005119e-15,3.6033958774796e-29
0.11,-1.89816093118781e-30,1.4033915163989e-58
0.12,-7.65110152257554e-30,2.10596960208371e-58
0.13,4.29656310529936e-15,1.00120534264335e-29
0.14,3.89910326248355e-16,9.28402258057379e-29
0.15,-3.63691447725289e-30,1.81932913991765e-59
0.16,4.07129239639914e-30,1.07898525663989e-59
0.17,-1.33981714611764e-14,2.28033530524734e-28
0.18,1.14663833983286e-14,8.34391366616546e-29
0.19,-3.5180747204322e-15,5.53225065297822e-29
0.2,4.53299404738612e-29,4.31713977839941e-58
0.21,-1.22745587119578e-29,3.18839417709307e-58
0.22,4.2285297683645e-30,1.26801383403202e-59
0.23,6.67821353772524e-15,3.81556297912838e-29
0.24,-4.83701967368688e-15,5.75948089173383e-29
0.25,-6.98157100559717e-31,3.00573533298988e-60
0.26,-1.82877679352861e-30,3.78248320437549e-59
0.27,-3.37906762999505e-30,1.48020154707386e-59
0.28,-5.91139575341253e-31,3.98489527984356e-59
0.29,-1.40755544128544e-29,1.8923778012597e-58
0.3,-7.49605707463016e-31,7.72085267651993e-59
0.31,1.19904086659517e-15,2.61416580266851e-28
0.32,-2.17070805774711e-15,2.24534659190987e-28
0.33,4.00959265789425e-14,2.09278926313602e-28
0.34,-7.38964445190504e-16,1.43131882858376e-28
0.35,-1.5315748669309e-14,9.744954828731e-28
0.36,7.71722205638817e-30,3.02508977296107e-59
0.37,-1.33164885375046e-29,2.64661662848833e-58
0.38,3.39035466367932e-14,5.53111060288483e-28
0.39,-2.36687459419797e-30,1.7965943847989e-59
0.4,-1.77422521119297e-14,5.60765149442832e-28
0.41,-6.69917986349791e-30,3.9706983184242e-59
0.42,9.02034003047447e-15,5.89426495531439e-28
0.43,-3.07113270956155e-30,1.50439752991901e-59
0.44,2.12319051229315e-15,1.02206522551508e-29
0.45,-7.41857706704187e-31,1.52421565759827e-60
0.46,-5.33617594555835e-15,2.32119309634063e-28
0.47,1.13331820277712e-29,1.36233320071058e-57
0.48,7.96290988872062e-31,2.10262686257534e-59
0.49,2.55084842137876e-15,1.63242576868811e-28
0.5,-2.39179293525686e-29,8.04843908626298e-58
0.51,1.69109171110904e-15,1.50872833573861e-28
0.52,-3.39753911623959e-29,7.28760635883976e-58
0.53,-1.5442609932481e-29,3.75805014261226e-58
0.54,-4.57592080101223e-30,8.69118544524785e-58
0.55,-2.3774759938533e-14,2.15776924097303e-27
0.56,-2.54179481250311e-30,4.87014107877247e-60
0.57,4.52918923565477e-30,5.00182427652053e-60
0.58,6.23145979261608e-15,7.11504715271695e-29
0.59,-4.29863929588538e-29,1.29012781895287e-57
0.6,8.50661763251992e-14,5.9961497635692e-27
0.61,1.59161572810262e-15,2.20739497544653e-28
0.62,-2.41584530158434e-14,1.34632261157719e-28
0.63,-4.85720356272477e-31,1.1997568327633e-60
0.64,-6.2115645960148e-14,5.78299313501597e-27
0.65,-2.74269496003399e-15,9.57690215551512e-29
0.66,-3.76503762335277e-29,1.63075024221312e-57
0.67,1.90425453183707e-14,4.59091967536977e-27
0.68,-2.43858266912866e-14,8.14087402789843e-27
0.69,-5.79785386317354e-31,5.28720430847207e-61
0.7,6.97752966516418e-14,1.3906319889393e-26
0.71,1.74025047607732e-30,5.17728532168509e-61
0.72,-9.64946196357081e-30,1.11734086263884e-57
0.73,-3.92980550918613e-31,3.10429492487682e-61
0.74,-4.5052228401673e-31,2.39733406687608e-61
0.75,-2.72784787809624e-29,1.26334321378298e-57
0.76,-3.21875859299325e-15,6.02302992332656e-29
0.77,4.35974995589674e-31,1.74623855226592e-61
0.78,7.42943484510761e-14,6.27799047542089e-27
0.79,-4.00745311273894e-29,2.97697486516216e-57
0.8,-1.33155708681443e-14,1.29180463183001e-28
0.81,-1.87014848052058e-13,2.39925201211254e-26
0.82,2.8421709430404e-16,1.45467530223866e-28
0.83,-4.83453277411172e-14,7.83017915624402e-27
0.84,-3.35155567451716e-31,9.72758214742375e-62
0.85,-3.89506835818839e-31,1.64876093751034e-61
0.86,1.66977542903624e-14,1.96566133548404e-28
0.87,2.00373051484348e-15,2.4484271530273e-29
0.88,-7.52065419002623e-32,6.29334404448216e-63
0.89,2.77964318229351e-14,3.26878720628384e-27
0.9,-7.02339105208451e-29,3.90758215214459e-57
0.91,2.96082990993279e-30,7.30551639203513e-59
0.92,-2.09818975317105e-29,5.65847124364056e-58
0.93,5.96855898038484e-16,1.66240519948442e-29
0.94,-5.34587655603201e-29,3.38595542584444e-57
0.95,4.91695573145989e-15,1.15687520937514e-28
0.96,9.69967564108261e-30,7.19138017588154e-58
0.97,6.53699316899292e-16,1.81700993421929e-29
0.98,1.07499179112326e-32,2.2996826285591e-64
0.99,5.6701310313656e-14,7.54666382930009e-27
1,0,0
1.01,-2.44378064384796e-30,1.99814437564623e-57
1.02,1.23691279441118e-13,4.26949707873771e-27
1.03,7.64543983677868e-15,1.4710607357334e-26
1.04,-2.16135408004518e-32,2.86136878904801e-64
1.05,-2.21723917442745e-32,9.05804016819229e-64
1.06,-2.84501311398344e-14,5.08044661995009e-27
1.07,-2.1600499167107e-15,5.67832787239621e-29
1.08,-5.86932299102012e-29,3.27122379924997e-57
1.09,-1.48077106132405e-13,1.9066758287525e-26
1.1,-9.97602001007181e-15,1.84198765522326e-28
1.11,-5.83798130689963e-32,1.91014812069704e-62
1.12,-1.68291629659745e-31,3.36519985269172e-62
1.13,-6.88313495428399e-32,1.19010305990455e-62
1.14,-1.75937860428454e-31,2.57936506842257e-62
1.15,-5.10404838591573e-29,1.64685063747302e-57
1.16,1.13686837721616e-16,1.77763100858336e-29
1.17,3.00133251585066e-14,8.06066392713086e-28
1.18,2.27373675443232e-16,3.22923362257939e-29
1.19,7.41806616133545e-15,3.69433350423289e-28
1.2,-3.5001699816386e-31,1.06944509490228e-61
1.21,-6.36541232146084e-31,2.89545027591375e-61
1.22,5.33758541837696e-32,7.10792749069337e-62
1.23,-9.8523948290652e-30,4.67151936041805e-58
1.24,6.93489710101858e-15,1.60478420891325e-28
1.25,4.89192861888246e-31,4.64531338989002e-61
