"Hetero_pwr","median","var"
0.1,-9.5723429183181e-15,2.61349608029089e-29
0.11,-3.24974984669144e-30,3.52544536826138e-59
0.12,-9.83081788093369e-30,1.29452468194938e-58
0.13,-1.20203688695896e-29,1.42963822917808e-58
0.14,9.67675334614403e-31,5.2386804072255e-59
0.15,1.42383882462127e-14,8.59598109971213e-29
0.16,1.45347502841538e-29,9.71818440520963e-59
0.17,-4.30322444344711e-15,5.85580965234754e-29
0.18,-9.21591041955619e-30,8.66284156091961e-59
0.19,4.30944169238501e-15,1.13806093206116e-28
0.2,-9.28501719954511e-15,1.52571450884392e-28
0.21,-3.41381395419711e-30,1.22845224783092e-59
0.22,-1.10045306200846e-15,8.65440260643072e-29
0.23,-6.60627108572953e-15,2.59090787740297e-28
0.24,-7.93275295350175e-30,3.56013059636499e-58
0.25,-9.62430135587056e-15,1.46518953097485e-28
0.26,8.68993765834603e-15,6.71785216509669e-28
0.27,2.00728322852228e-16,1.58575195645985e-28
0.28,-3.85006313095145e-30,3.64157660175342e-59
0.29,-7.31613688411479e-30,5.13157895237406e-59
0.3,-1.81964857700107e-30,7.58623625958642e-60
0.31,-2.61799470990809e-14,8.60388577025665e-28
0.32,-2.12109541423789e-29,3.98409247493483e-58
0.33,-1.50854919843899e-29,7.47411958176379e-58
0.34,2.83359946491035e-30,6.80494230334981e-60
0.35,1.4210854715202e-17,4.56352827689099e-29
0.36,-4.88607496281693e-30,5.88426960444206e-59
0.37,-9.63851221058576e-15,8.31676516419763e-29
0.38,-3.38410091694147e-30,1.07569457541615e-59
0.39,8.64019966684282e-15,1.06469375349381e-27
0.4,-3.26849658449646e-14,1.16054626322292e-27
0.41,3.83835185857606e-14,6.38765188869307e-28
0.42,2.1227464230833e-14,3.97837005108127e-28
0.43,-4.23736714125557e-29,9.93728116289622e-58
0.44,-6.43041175862891e-15,3.62454658865103e-28
0.45,3.98330257667112e-14,1.78553327543159e-27
0.46,-2.38649770643057e-29,6.34240422743253e-58
0.47,-3.59128292315356e-30,3.34436487947176e-59
0.48,-2.93631785552861e-15,1.48725660003023e-29
0.49,7.05568936609779e-14,2.49166210025719e-27
0.5,3.81916720471054e-15,4.79775884678861e-29
0.51,-7.13206010537111e-30,1.50348204551941e-58
0.52,-1.69248062647939e-30,6.45462126232271e-60
0.53,-6.84892142999161e-14,1.28550961340581e-27
0.54,2.24673613047344e-14,5.88144671577258e-28
0.55,-2.07360717103494e-30,8.58268672221529e-60
0.56,3.58343147684555e-32,1.2874261009222e-60
0.57,1.9342060659517e-30,1.63978614434968e-60
0.58,-5.77671244172961e-15,6.15564067906149e-29
0.59,-5.59945599262292e-30,9.40368782172707e-58
0.6,-2.40630166502569e-29,7.4848575650448e-58
0.61,3.28270743921166e-15,2.16228103892615e-28
0.62,-9.18747896349309e-30,5.78800347398755e-59
0.63,-5.61328761250479e-15,8.11583889614045e-29
0.64,4.37694325228222e-14,7.14998382018629e-27
0.65,-1.62333520552568e-29,4.11654770211404e-58
0.66,7.40385530662024e-15,1.51523758319998e-28
0.67,-8.10018718766514e-14,7.67484748815912e-27
0.68,-2.21814052890072e-31,4.41692788961057e-61
0.69,-9.13900066734641e-14,3.66604839820669e-27
0.7,-7.57737692430439e-31,6.55204506830837e-61
0.71,-2.34479102800833e-16,2.9610556594287e-29
0.72,7.0912165028858e-15,8.65202299448089e-29
