"Variance","mu","var"
1,-1.57856592079568,1.46458430428134
2,-2.90811112711334,24.2523836939444
3,-7.51495595442037,142.316294686635
4,-2.7044759826194,14.8071857008324
5,-11.6178599442979,199.357744704086
6,-48.5597756632242,3937.07599713523
7,-18.4191909989692,505.569067668841
8,-37.172566339517,5794.42504222943
9,-80.3214177535545,43392.7609635526
10,-63.2164964268715,4008.49563217928
11,-99.9035370453984,23326.7306351697
12,-102.067672441175,32734.8955415071
13,-135.510587411308,22720.9481160427
14,-17.5541913189209,603.34603467518
15,-97.7827351673479,4853.00078207961
16,-121.634293232015,12788.9917074501
17,-306.230529671289,131317.35961128
18,-290.236295160008,276805.082482928
19,-198.099677785425,44082.8562694782
20,-222.624236780479,136629.424544066
21,-191.578787660948,84480.095154662
22,-423.881952126131,266487.312113722
23,-198.536667135383,84126.69231979
24,-433.408305488821,126498.710241503
25,-242.047758320446,247235.551045423
26,-403.873115356364,410423.848563046
27,-670.132012286094,884360.380413049
28,-314.694397851085,190400.666321876
29,-1068.72493381703,1942628.15691945
30,-655.120194865865,509514.204969982
31,-495.265570720946,209004.248933033
32,-739.506740848133,757918.824301004
33,-24.0750455630057,1581.67179445605
34,-1009.11472885011,1246056.86068526
35,-603.881909217137,1009475.62646636
36,-397.918306182144,177394.67004759
37,-975.506243958874,2560270.66683298
38,-883.357450615085,1034145.61081273
39,-908.774760747304,1332085.79220032
40,-1201.43825136142,1787216.33684666
41,-1568.7502466331,4305876.69627704
42,-1601.57925193717,3932911.31301967
43,-1166.98055787774,2794367.26814738
44,-637.894051813275,781653.919030828
45,-1970.29591567725,4656021.90106565
46,-1708.64214732262,5129867.16682721
47,-3124.77104510533,11931645.4390546
48,-1238.63426921325,1049298.60616876
49,-1866.51605046088,4006844.68815542
50,-2475.86066633897,16118403.4960811
51,-1382.56855581719,1488027.44311607
52,-2590.68933765451,27253121.3635583
53,-2299.72799858303,8065229.57560136
54,-1988.56541518188,6818642.92765201
55,-1676.84648736956,4651527.09309137
56,-4254.53896372818,8120830.38394343
57,-4075.84974818391,24024956.1782011
58,-2378.63184761508,9210853.36992868
59,-2955.39036076759,27371982.6420253
60,-1763.48413450848,4380849.94652797
61,-788.240068425873,1181870.42145959
62,-2014.00140055189,6240226.736702
63,-3528.20244065809,41482839.3731592
64,-1633.76399304034,5268374.17224517
65,-2409.87589073888,10819847.172045
66,-7794.86930032917,69614821.5006406
67,-3423.81557767218,13446282.6831179
68,-2941.61863171554,6362232.61593662
69,-1167.48965281686,1798400.92131938
70,-4344.64877039256,33596537.4812998
71,-2284.38872902858,7762662.56911766
72,-2134.42335122991,5118062.13122076
73,-2288.86718641962,8631336.9290162
74,-3461.81201092087,13197399.1782464
75,-5597.2032981884,61969167.4688375
76,-2596.55487831546,16481536.2633333
77,-3447.5134473482,24380659.2776799
78,-9476.19222057936,316443850.542868
79,-4013.56537063034,25443640.5915071
80,-1788.69429992113,3942607.58555091
81,-4035.7667523537,27657841.8195788
82,-4805.66723436572,23970289.5407624
83,-8038.99804140824,65594791.0149331
84,-9018.49141148673,121476287.439749
85,-9270.95448169888,94217097.7510986
86,-4450.88450241511,22581324.7852773
87,-4722.75570725804,60651847.0876361
88,-5603.9218901992,41945620.7563057
89,-1668.43044470984,3064861.12796353
90,-3327.65146169482,12173127.1061644
91,-6420.38104157678,30875511.9276655
92,-6540.11142656643,82173080.6464479
93,-11573.6030726259,106578242.788579
94,-3906.95931615683,19299631.5250318
95,-6977.68819113111,33115657.5540737
96,-8814.39253561118,72187558.6873804
97,-2759.9648012318,8040201.55767155
98,-6324.77023917778,50871376.3258137
99,-9696.13307414266,147220396.16131
100,-5051.27248800716,37762320.8595778
