"Variance","mu","var"
1,-0.628864438085931,0.854558379035205
2,-3.7067693895543,22.0371065475465
3,-1.87417897098953,5.71604451321774
4,-13.5663318045752,263.059526684315
5,-13.8896463529682,400.48835736233
6,-17.1637947337426,475.064242608785
7,-44.2195959159006,2124.21135383308
8,-28.8500359077112,632.331071745058
9,-21.3464853676013,457.307954181981
10,-30.6140996568846,1133.05233548338
11,-66.3678030403267,7252.03798944137
12,-71.2863122365346,3248.53368445633
13,-159.38883520615,51179.6517298322
14,-122.475399989534,15897.7621956765
15,-268.483521114822,52633.5685474752
16,-53.7853150791563,5655.55674697547
17,-129.749957857311,23217.4224397193
18,-71.5254534239456,14404.5040658624
19,-118.215473232415,31496.6425007238
20,-547.637186754539,361366.697185988
21,-114.466761526198,25459.4839761996
22,-656.574975532058,475886.884537148
23,-193.197490997938,37739.7011256148
24,-356.676949795305,267458.684805596
25,-640.549496055849,584823.170937625
26,-446.277253703403,178221.034299376
27,-797.544512327091,465830.201620355
28,-482.978911909187,615023.909280182
29,-451.420115844969,337618.021468891
30,-394.107675849777,85249.2446861895
31,-663.617146710239,913485.024759701
32,-565.330955085512,770330.009024239
33,-299.261259803651,327476.267031262
34,-760.721483163715,482790.384281541
35,-625.468108963698,580223.019250697
36,-786.181871924206,1025272.34526121
37,-1464.65652866509,5869075.41274741
38,-868.240052429884,2343166.12512847
39,-1458.76790982923,2950356.61447864
40,-2157.82028371055,15648950.7602009
41,-437.896639375594,710861.244163789
42,-2295.94959181901,8107959.52899835
43,-195.459114070454,201409.114618029
44,-312.114833855518,128184.501025037
45,-1996.5095793366,5290963.48775398
46,-610.95417348564,491086.343766633
47,-786.008770509012,1247473.77747217
48,-737.304187298938,1282926.91192729
49,-904.086579918091,1247151.33989763
50,-1835.33357656715,17727605.7815761
51,-3243.34995132291,19426001.3487222
52,-1552.15841421162,6421743.2106448
53,-4597.78829226732,31488291.2769365
54,-1405.55698217011,5286552.72871609
55,-1480.64431021385,1364405.74158668
56,-1112.76071418638,3960994.49618136
57,-1463.27202285077,2109064.62434724
58,-2358.19286175071,8324557.4790868
59,-1823.0067761493,6275986.23734956
60,-4308.5997338202,27012552.4038295
61,-3203.57235272965,16602467.502274
62,-2328.34378741287,9445979.24939768
63,-2541.20751406294,10590164.9065913
64,-2822.890858055,17212992.7227674
65,-2533.97506776345,9816621.72102198
66,-2939.93639664076,12830161.3634913
67,-1039.92333312088,2365540.62440096
68,-1258.6839547478,1983253.54597241
69,-6329.5786325125,27258333.6169369
70,-3164.99718129982,22926293.3050691
71,-4077.78387248591,28405892.1889924
72,-3439.6570419861,9601656.38980563
73,-2714.73669346962,9250759.52201726
74,-2636.59814838147,24527740.8776861
75,-3703.50720159568,16510981.4213751
76,-3489.0869878282,19292326.8492837
77,-7064.71312031116,244946702.892331
78,-5992.67912888434,83877131.6022797
79,-3557.72859126775,64386543.3716276
80,-2618.35534456835,6930469.79343021
81,-4237.43809657578,17742450.9658526
82,-2466.24896233757,18349716.7382976
83,-5208.48188160527,52042577.9807106
84,-5123.16381442556,76027198.7088495
85,-5247.90007586789,88222362.4011897
86,-5342.09450081027,63454647.2941585
87,-9580.47086305896,177210290.138086
88,-4155.21602690174,23851137.3732218
89,-2438.95749532052,15364651.344035
90,-3210.60005659714,11920058.4194697
91,-4367.80188619825,45043855.5728333
92,-8972.96858615275,127156351.647784
93,-9460.26264420485,193322364.506443
94,-5959.48884209306,78559500.8925384
95,-3282.45674875814,27113317.2447014
96,-5770.79027325426,45569137.8720228
97,-6981.93949996222,41908845.6438358
98,-10159.081252516,309611830.238732
99,-9770.00370773844,211751020.134184
100,-7037.76232009944,79636943.127544
